#Occurence	Espanol	English
3082	que	what
2509	no	no
2278	de	from
1653	a	to
1495	la	the
1422	lo	the
1328	y	y
1290	es	is
1197	el	he
1119	en	in
1033	un	a
1029	me	 me
828	por	by
809	qu	what
781	te	tea
754	s	s
702	una	a
605	con	with
584	i	I
562	ser	he
558	si	yes
546	bueno	good
533	pero	but
527	yo	I
462	mi	my
451	para	for
447	eso	that
424	los	the
413	bien	all right
391	ya	already
378	oh	oh
369	hola	hello
357	est	is
321	muy	very
321	ha	he has
316	como	as
302	las	the
299	aqu	here
293	he	he
291	le	you
280	oye	hears
271	tu	you
254	su	his
254	ah	ah
252	ms	ms
245	as	ace
244	al	to the
241	porque	why
239	vamos	come on
233	sabes	you know
227	tengo	I have
212	esta	this
211	del	of the
210	esto	this
203	cuando	when
202	t	t
201	nada	nothing
198	siento	feel
196	algo	something
181	quiero	I want
176	soy	I am
175	todo	all
175	estoy	I am
173	o	or
171	has	all
170	ahora	now
166	ests	these
160	puedo	may I
159	slo	slo
159	ross	
159	creo	
158	dios	
156	tiene	
156	gracias	
149	era	
147	tienes	
142	ser	
142	ella	
140	eres	
139	quieres	
139	este	
138	hacer	
134	voy	
130	dos	
128	mejor	
127	vez	
127	tan	
127	rachel	
126	ok	
125	phoebe	
124	verdad	
122	eh	
121	hay	
121	cmo	
118	estaba	
117	joey	
115	l	
113	ver	
113	vaya	
113	nos	
113	ese	
113	casa	
111	ir	
110	esa	
107	ti	
104	va	
104	noche	
102	pues	
102	cosas	
100	tambin	
100	nunca	
100	ni	
100	hasta	
99	mo	
98	mira	
98	fin	
97	entonces	
96	vas	
96	mnica	
96	fue	
96	espera	
96	claro	
95	mucho	
95	alguien	
93	genial	
92	son	
91	tipo	
91	hecho	
91	da	
91	chandler	
90	pasa	
90	favor	
87	parece	
87	hace	
86	decir	
85	todos	
85	otra	
81	haciendo	
80	vida	
80	puede	
80	dnde	
80	andy	
79	tal	
79	solo	
79	cario	
78	trabajo	
78	mis	
77	siempre	
77	aos	
75	uno	
75	sido	
75	luego	
75	cosa	
74	sin	
72	momento	
71	estar	
70	all	
69	puedes	
69	dicho	
68	sus	
66	seor	
65	mujer	
65	hombre	
65	antes	
64	vale	
64	m	
64	hablar	
64	crees	
63	umm	
63	gusta	
63	estas	
62	serio	
62	quin	
62	podra	
62	han	
62	desde	
62	chicos	
59	sea	
59	mismo	
59	amigos	
58	razn	
58	maana	
58	haba	
58	escucha	
57	quera	
57	otro	
56	tiempo	
56	mundo	
55	pasado	
55	les	
54	tenemos	
54	semana	
54	casi	
53	tanto	
53	quiere	
53	despus	
52	sr	
52	poco	
52	digo	
51	tener	
51	salir	
50	sobre	
49	tres	
49	tena	
49	hacerlo	
49	dice	
49	acuerdo	
48	mark	
48	estado	
48	contigo	
48	amigo	
47	vers	
47	importa	
46	mierda	
46	dijo	
45	nadie	
45	estn	
44	dufresne	
44	chico	
43	okay	
43	necesito	
43	mal	
42	fuera	
41	veras	
41	demasiado	
40	padre	
40	debera	
39	ves	
39	uh	
39	realmente	
39	nuevo	
39	nosotros	
39	conmigo	
39	caf	
39	cada	
39	alto	
39	adis	
38	supongo	
38	seguro	
38	lugar	
38	janice	
38	buena	
38	an	
37	veces	
37	unos	
37	saber	
37	miedo	
37	madre	
36	visto	
36	todas	
36	pete	
36	dices	
36	das	
36	chica	
36	cabeza	
36	alguna	
35	jugar	
35	esas	
35	cierto	
35	'	
34	volver	
34	okey	
34	menos	
34	gran	
34	entre	
34	deberas	
34	crea	
33	sabe	
33	idea	
33	estamos	
32	tus	
32	toda	
32	suerte	
32	sera	
32	primera	
32	nuestra	
32	haber	
32	dentro	
32	dejar	
31	telfono	
31	sitio	
31	quien	
31	primero	
31	mano	
31	hemos	
31	gente	
31	dejado	
30	resulta	
30	queda	
30	problema	
30	pasar	
30	pas	
30	mas	
30	increble	
30	importante	
30	creer	
30	cinco	
29	tampoco	
29	somos	
29	seguir	
29	persona	
29	llamado	
29	hey	
29	ellos	
29	amor	
28	to	
28	tarde	
28	podras	
28	parte	
28	horrible	
28	hizo	
28	haya	
28	fcil	
28	dije	
28	cuenta	
28	cama	
28	alcaide	
27	vivir	
27	viene	
27	ven	
27	ve	
27	significa	
27	red	
27	quizs	
27	odo	
27	nombre	
27	nmero	
27	loco	
27	ido	
27	iba	
27	hoy	
27	haces	
