#Occurence  Espanol English
3082  que what
2509  no  no
2278	de	from
1653  a to
1495  la  the
1422  lo  the
1328  y y
1290  es  is
1197  el  he
1119	en  in
1033	un  a
1029	me	 me
828	por by
809	qu  what
781	te  tea
754	s s
702	una a
605	con with
584	i I
562	se  he
558	si  yes
546	bueno good
533	pero  but
527	yo  I
462	mi  my
451	para  for
447	eso that
424	los the
413	bien  all right
391	ya  already
378	oh  oh
369	hola  hello
357	est is
321	muy very
321	ha  he has
316	como  as
302	las the
299	aqu here
293	he  he
291	le	you
280	oye	hears
271	tu	you
254	su	his
254	ah	ah
252	ms	ms
245	as	ace
244	al	to the
241	porque	why
239	vamos	come on
233	sabes	you know
227	tengo	I have
212	esta	this
211	del	of the
210	esto	this
203	cuando	when
202	t	t
201	nada	nothing
198	siento	feel
196	algo	something
181	quiero	I want
176	soy	I am
175	todo	all
175	estoy	I am
173	o	or
171	has	all
170	ahora	now
166	ests	these
160	puedo	may I
159	slo	slo
